artist_name,artist_id,duration,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Lorde,163tK9Wjr9P9DmM0AVK7lm,220789.1,71.5,0.6533,0.283691,0.5178,0.09051506499999999,0.14285,-8.4892,0.08405,105.47049999999999,0.29374
Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,192649.5,59.2,0.5814,0.0486257,0.7693,0.0005963160000000001,0.16471,-4.5679,0.08399,123.5327,0.5438000000000001
MAX,1bqxdqvUtPWZri43cKHac8,180747.6,60.5,0.6688000000000001,0.24721,0.6463,0.00011141,0.19119999999999998,-6.184,0.08088999999999999,119.5779,0.5359
MKTO,2l35CQqtYRh3d8ZIiBep4v,202372.7,51.3,0.6522,0.18597999999999998,0.7236,4.72e-07,0.12288000000000002,-5.2746,0.05687,107.32650000000001,0.608
Maggie Lindemann,0uGk2czvcpWQA383Im6ajf,179845.1,54.3,0.5955999999999999,0.14477500000000001,0.7716999999999999,0.014224352000000001,0.24452,-5.234,0.07776000000000001,129.8442,0.46825
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,177956.8,75.0,0.7264,0.22393999999999997,0.7072,7.2804e-05,0.28473000000000004,-5.1922,0.08674,120.452,0.7713
Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,208051.5,75.2,0.626,0.25038,0.7009000000000001,0.001979682,0.2451,-5.579400000000001,0.05902,135.7985,0.46900000000000003
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,207237.9,77.7,0.605,0.17361100000000002,0.6125999999999999,1.8626e-05,0.16279,-5.1609,0.04156,122.40979999999999,0.4244
Miranda Cosgrove,3SYGWAHCe31oykdeUPpoJp,197560.0,36.7,0.48550000000000004,0.031367,0.8664999999999999,0.00873325,0.17034,-4.4323,0.07625,141.4869,0.514
Mitchel Musso,3IcF2f5vEkY6HPQfLlQDlw,184926.6,25.6,0.5981,0.0488378,0.8688,8.52e-06,0.21936999999999998,-4.4372,0.05519,124.5402,0.6798
Mitski,2uYWxilOVlUdk4oV9DvwqK,170481.4,78.3,0.44480000000000003,0.2402415,0.524,0.06784764,0.17993,-8.133799999999999,0.030819999999999997,108.5738,0.31894999999999996
Mokita,3sKeaby6GMSJWgYueZaSjE,170050.6,53.7,0.6897,0.4104,0.4725,0.00018708,0.14704,-8.7004,0.057289999999999994,122.6451,0.4002
Mother Mother,0e86yPdC41PGRkLp2Q1Bph,214237.3,69.3,0.5887,0.181079,0.7194,0.003202017,0.19841999999999999,-4.5563,0.07688,120.1473,0.34619999999999995
Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,192188.0,68.3,0.5788,0.251024,0.5997,0.0,0.2065,-5.7661,0.03932,100.9902,0.43710000000000004
Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi,199348.8,56.5,0.5737,0.10161400000000001,0.6577,0.0,0.15642,-4.9875,0.10676,116.0504,0.4483
Nick Jonas & The Administration,6dse9FDodKw65ZQoLjE5F1,248598.5,26.6,0.6542,0.08114619999999999,0.6256999999999999,0.0016262160000000002,0.20159,-6.509099999999999,0.039180000000000006,105.4374,0.5614
Olivia Holt,188VINPQh5dyNfLUkevKqf,180955.3,40.9,0.6935,0.193072,0.6837,8.005e-05,0.15589,-5.8713999999999995,0.05486,124.80350000000001,0.5025000000000001
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,193826.1,84.6,0.49400000000000005,0.421657,0.5700000000000001,3.5139999999999997e-06,0.22057000000000002,-6.560599999999999,0.09033,141.4261,0.39079
Olly Alexander (Years & Years),5vBSrE1xujD2FXYRarbAXc,209272.4,56.6,0.651,0.17104,0.7476,6.91e-07,0.18787,-5.4272,0.049409999999999996,112.99680000000001,0.4952
Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO,196926.2,63.4,0.6241,0.5115999999999999,0.5189999999999999,0.025205835,0.15797,-8.287,0.0806,123.6063,0.48
One Direction,4AK6F7OLvEQ5QYCBNiQWHq,220946.6,80.2,0.6465,0.194883,0.6831,0.0,0.09807,-5.5634,0.04402,117.48519999999999,0.4516
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,250492.7,68.2,0.4189,0.72107,0.3992,0.048572,0.11762999999999998,-11.381400000000001,0.04816,134.7507,0.3383
R5,5aptPwTkTKmlPx6csmNJLA,206059.8,34.7,0.6477999999999999,0.0141326,0.8116,1.09e-07,0.1776,-5.2554,0.06519,107.9306,0.5782
Ricky Montgomery,0ZUvK7zGdXLd78mQr3t1Tw,217701.9,60.7,0.5758,0.17946,0.6248,0.00027835999999999996,0.16452,-6.389100000000001,0.03185,141.3147,0.4936
Rita Ora,5CCwRZC6euC8Odo6y9X8jr,184993.8,63.4,0.6207,0.10887,0.7775000000000001,0.000334,0.18247,-4.8808,0.08453999999999999,113.4914,0.5166000000000001
Rixton,0kkxsdcaWmWU2yWAqclDh4,213229.3,41.5,0.6259,0.146321,0.6944,0.0,0.16205,-5.8322,0.052000000000000005,121.26289999999999,0.5492
Ross Lynch,4UxLFBvSr4xMDpHe1lrLrH,189769.2,56.4,0.6591,0.160485,0.7986,0.00238147,0.25675,-5.3956,0.07898,124.7731,0.6666000000000001
Ruel,5xkAtLTf309LAGZTbvULBn,221197.9,56.3,0.5898,0.24106100000000003,0.5547,0.000577261,0.16843000000000002,-6.1546,0.05671,119.8409,0.37429999999999997
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,174472.4,78.9,0.6272,0.168355,0.6738999999999999,7.226e-06,0.19866999999999999,-5.8667,0.11825,126.95009999999999,0.542
Sasha Alex Sloan,4xnihxcoXWK3UqryOSnbw5,183112.0,60.2,0.6582,0.56028,0.4062,0.0004589879999999999,0.14736,-9.4016,0.040870000000000004,103.8424,0.30724
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,203585.4,74.6,0.6718,0.160973,0.6131,7.331300000000001e-05,0.13324,-5.8697,0.049920000000000006,112.89359999999999,0.48353
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,196546.6,75.8,0.6419,0.14701,0.7212,2.29e-06,0.15544,-5.2844999999999995,0.08713000000000001,128.4386,0.6389
Taylor Swift,06HL4z0CvFAxyc27GXpf02,257532.8,86.2,0.5674,0.35233,0.5215,0.00026769,0.12884,-8.9289,0.08653000000000001,131.4022,0.3417
The 1975,3mIj9lX2MWuHmhNCA7LSCW,263522.4,68.7,0.5897,0.19677530000000001,0.7609,0.08195569,0.19124000000000002,-6.3586,0.04351,114.4227,0.48936
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,232443.9,79.5,0.5431,0.083761,0.6368,0.081172789,0.19075999999999999,-6.7908,0.038169999999999996,110.7577,0.3722
The Vamps,7gAppWoH7pcYmphCVTXkzs,190495.7,58.2,0.6198,0.0487751,0.8389,0.0,0.23107000000000003,-4.9239,0.055279999999999996,116.11789999999999,0.7018000000000001
The Wanted,2NhdGz9EDv2FeUw6udu2g1,210442.8,51.8,0.6011,0.11631899999999999,0.7807999999999999,3.48e-05,0.20961,-4.6091999999999995,0.06969,129.509,0.4598
Tove Lo,4NHQUGzhtTLFvgF5SZesLK,198556.3,63.0,0.7181,0.13106299999999999,0.7076,0.116820179,0.15423,-5.9860999999999995,0.05791999999999999,118.1069,0.34667
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,181948.2,72.9,0.6172,0.131662,0.6622,0.00069809,0.13485,-6.913500000000001,0.07216,107.0266,0.4596
Vanessa Hudgens,6G9bygHlCyPgNGxK2l3YdE,209172.2,53.4,0.5597000000000001,0.136437,0.7158,0.00014825,0.14978,-5.393700000000001,0.06079,123.11010000000002,0.4203
Victoria Justice,2OTfr6S2kuHRYStjt1IkY6,193873.4,39.6,0.636,0.4011439,0.5527,1.38e-07,0.14412,-5.9801,0.05194,122.0636,0.4563
Victorious Cast,1KYszkVzlhV3rAqmAcYIgd,190509.4,53.2,0.6119,0.054639499999999994,0.8943,1.73e-06,0.151,-3.2033,0.08492999999999999,129.4024,0.5809
Wallows,0NIPkIjTV8mB795yEIiPYL,186960.5,66.1,0.5947,0.047407500000000005,0.7851,0.013017226000000002,0.24479,-5.2543,0.03787,127.5112,0.6616
Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,193792.5,60.5,0.643,0.12387,0.6849999999999999,1.94e-05,0.13264,-5.078,0.057830000000000006,130.6678,0.4204
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,220500.2,69.4,0.4932,0.29075,0.5237999999999999,5.398e-06,0.14777,-6.686100000000001,0.045200000000000004,135.6988,0.32611
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,198353.0,69.6,0.6405,0.14318,0.7104,0.00038784700000000003,0.17126,-4.6533999999999995,0.05833000000000001,128.6165,0.4766
Zendaya,6sCbFbEjbYepqswM1vWjjs,211285.5,60.3,0.5155000000000001,0.20258189999999998,0.5936,0.0055910000000000005,0.1763,-8.3597,0.08778,133.8808,0.31520000000000004
beabadoobee,35l9BRT7MXmM8bv2WDQiyB,170631.3,74.5,0.6046,0.5650299999999999,0.514,0.13537300000000002,0.22729,-8.7163,0.04375,125.26780000000001,0.49119999999999997
girl in red,3uwAm6vQy7kWPS2bciKWx9,185464.2,68.9,0.5152,0.28231700000000004,0.5589999999999999,0.17494437499999999,0.14945,-10.396,0.08452,144.3631,0.4284
mxmtoon,0HthCchcL0kVLHTr113Vk1,178835.9,59.4,0.6540999999999999,0.48048,0.5138,0.009689836,0.18470999999999999,-9.2621,0.13337,103.1779,0.49219999999999997
